image,label
dataset/fist/0031a6a9-9d93-4e63-907b-7fabe08a9209.jpg,fist
dataset/fist/0051add8-5f64-4e7c-9bb9-ad2a3345cdea.jpg,fist
dataset/fist/0076df79-2901-40c8-8db6-57bec455ba90.jpg,fist
dataset/fist/00a21d28-a152-49d1-bf5a-c22a81df75b7.jpg,fist
dataset/fist/00d32eb7-e6cc-4dd6-9bc7-d4cd40d67151.jpg,fist
dataset/fist/00f7aa40-a5fb-47b0-9274-70b1ea4a0ab3.jpg,fist
dataset/fist/011fc60b-5e13-4e29-8572-87080c3db82a.jpg,fist
dataset/fist/014f643f-e5de-4df6-9716-a6a922e8fc16.jpg,fist
dataset/fist/0171f31f-7193-4dda-8474-5aad16ec7f91.jpg,fist
dataset/fist/018f74c8-2ce6-40e4-9b8e-8a114a7dad56.jpg,fist
dataset/fist/01ad9df4-acb3-4a57-a7f0-43d3b01e7c94.jpg,fist
dataset/fist/01cd940f-d31c-49f6-87a4-dd1f25d73c74.jpg,fist
dataset/fist/0204b7e8-e750-472f-9a06-ff4c180e4036.jpg,fist
dataset/fist/022cefe0-856b-403b-8df0-5855e045cc9e.jpg,fist
dataset/fist/025270b9-4534-4365-86fb-bc4fcc6abe6e.jpg,fist
dataset/fist/027ca110-02bc-4f6b-8017-9a13c0263702.jpg,fist
dataset/fist/02a809c0-8c0a-4ded-8ac8-f72ed2b107a8.jpg,fist
dataset/fist/02ca9b3b-d3d2-4dfd-b38a-fd8412c006a5.jpg,fist
dataset/fist/02e3dcaa-96e4-459a-8978-c39bf04fb569.jpg,fist
dataset/fist/030a58b9-3713-48bd-b9ce-bc95119268d2.jpg,fist
dataset/fist/033229aa-40ca-4e7f-8b29-5da918f9f1e4.jpg,fist
dataset/fist/035c109d-62f2-44d9-ac2b-d7ebde190d44.jpg,fist
dataset/fist/0387dc7c-3658-4096-b1c0-f0e996fdd769.jpg,fist
dataset/fist/03a8d42a-ccc6-41aa-abba-9c9957aebdcd.jpg,fist
dataset/fist/03c97cd5-49bd-4e8f-b4dd-565aed7b4b13.jpg,fist
dataset/fist/03faaaf7-e2a8-4c29-9f99-d69b40bd324e.jpg,fist
dataset/fist/041e91ff-19da-4cc7-8cf5-f9babb4abe70.jpg,fist
dataset/fist/0453b63a-8cf9-4b64-894b-e57dc07c5306.jpg,fist
dataset/fist/0477a66a-53ae-4138-982b-c33cf05b3ab1.jpg,fist
dataset/fist/04a5442a-03f9-4219-9d53-284051009898.jpg,fist
dataset/fist/04c87a6a-ee89-4676-ad61-cf780230e83b.jpg,fist
dataset/fist/04e1751f-fabd-4307-b978-03301fa15830.jpg,fist
dataset/fist/05070a08-0a78-43c5-bdbf-528c1a926fe6.jpg,fist
dataset/fist/054623d0-7998-487c-9bd2-4ed9a431f3c9.jpg,fist
dataset/fist/05757c89-8b9d-4dea-96fe-3b513fccf4a3.jpg,fist
dataset/fist/0596b65a-9c74-45ce-90c9-aba93e7c5b1d.jpg,fist
dataset/fist/05b80c34-0237-42ba-818a-189922e3b328.jpg,fist
dataset/fist/05d525b5-afde-4065-969a-69c80cc89329.jpg,fist
dataset/fist/05fe4c51-43c2-4749-9f02-8043a66481e4.jpg,fist
dataset/fist/06204474-264b-4b11-92cf-53a0a435395c.jpg,fist
dataset/fist/064a3557-8bef-45e1-81b4-ba7b9a554d6e.jpg,fist
dataset/fist/06800442-3d50-4cf4-8587-4b022a92cbbf.jpg,fist
dataset/fist/06a11bff-1ab9-4941-bf58-a6c1d9232f7f.jpg,fist
dataset/fist/06c3c274-fce4-48ef-a1e1-4f889960c7e0.jpg,fist
dataset/fist/06da04c8-03b5-4893-adb7-e4dfc9295c66.jpg,fist
dataset/fist/07108dfd-c953-488f-8459-3a53f38d9346.jpg,fist
dataset/fist/073eb821-b1b8-41cb-bde9-1f58d3466a09.jpg,fist
dataset/fist/076aa956-a5fa-4345-b7c7-20fc90bbc7df.jpg,fist
dataset/fist/078f8260-8d6e-4535-b75f-5080a60f8d1c.jpg,fist
dataset/fist/07bba6d4-d5b5-4d85-9f1a-11b4d08b491f.jpg,fist
dataset/fist/07fd6785-17e3-472a-9d6d-f6304dc04c2a.jpg,fist
